No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
6493.0,20551,19993,23,20,-558,1045,860,123,0,8,0.003542276297551209,0.0030802402587401818,0.1609425535191745,0.13245033112582782,0.0,0.02017557369474819,3
6494.0,20554,20001,23,20,-553,1046,860,123,0,8,0.0035417308284570372,0.003079765937788728,0.16107175854635047,0.13242993532491532,0.0,0.02017246689251617,3
6495.0,20557,20009,23,20,-548,1046,861,123,0,8,0.003541185527328714,0.003079291762894534,0.16104695919938414,0.1325635103926097,0.0,0.0201693610469592,3
6496.0,20560,20012,23,20,-548,1046,862,123,0,8,0.00354064039408867,0.003078817733990148,0.16102216748768472,0.13269704433497537,0.0,0.020166256157635468,3
6497.0,20563,20015,23,20,-548,1047,862,123,0,8,0.003540095428659381,0.0030783438510081575,0.16115130060027705,0.1326766199784516,0.0,0.020163152224103434,3
6498.0,20566,20023,23,20,-543,1047,862,123,0,8,0.0035395506309633734,0.0030778701138811943,0.1611265004616805,0.13265620190827948,0.0,0.02016004924592182,3
6499.0,20569,20023,23,20,-546,1047,862,123,0,8,0.003539006000923219,0.0030773965225419295,0.16110170795507,0.13263579012155716,0.0,0.02015694722264964,3
6500.0,20572,20023,23,20,-549,1047,862,123,0,8,0.0035384615384615385,0.003076923076923077,0.1610769230769231,0.1326153846153846,0.0,0.020153846153846154,3
6501.0,20575,20023,23,20,-552,1048,862,123,0,8,0.003537917243501,0.003076449776957391,0.1612059683125673,0.13259498538686357,0.0,0.020150746039070914,3
6502.0,20578,20031,23,20,-547,1048,862,123,0,8,0.0035373731159643188,0.0030759766225776685,0.16118117502306983,0.13257459243309752,0.0,0.02014764687788373,3
6503.0,20581,20031,23,20,-550,1048,862,123,0,8,0.003536829155774258,0.003075503613716746,0.1611563893587575,0.13255420575119176,0.0,0.02014454866984469,3
